

lambda(nm), Y
1000, 0.901463
996.678, 0.901117
993.377, 0.900635
990.099, 0.89999
986.842, 0.899165
983.607, 0.89816
980.392, 0.896986
977.199, 0.895667
974.026, 0.894239
970.874, 0.892742
967.742, 0.891222
964.63, 0.889724
961.538, 0.888292
958.466, 0.886961
955.414, 0.885756
952.381, 0.884692
949.367, 0.883771
946.372, 0.882983
943.396, 0.882304
940.439, 0.881703
937.5, 0.881142
934.579, 0.880577
931.677, 0.879965
928.793, 0.879266
925.926, 0.878445
923.077, 0.877478
920.245, 0.87635
917.431, 0.875056
914.634, 0.873607
911.854, 0.872022
909.091, 0.870331
906.344, 0.868568
903.614, 0.866774
900.901, 0.86499
898.204, 0.863254
895.522, 0.861598
892.857, 0.860046
890.208, 0.858613
887.574, 0.857301
884.956, 0.856103
882.353, 0.854999
879.765, 0.85396
877.193, 0.852953
874.636, 0.851939
872.093, 0.850875
869.565, 0.849726
867.052, 0.848458
864.553, 0.847046
862.069, 0.845475
859.599, 0.843739
857.143, 0.841847
854.701, 0.839814
852.273, 0.837667
849.858, 0.83544
847.458, 0.833169
845.07, 0.830895
842.697, 0.828655
840.336, 0.82648
837.989, 0.824395
835.655, 0.822417
833.333, 0.82055
831.025, 0.818787
828.729, 0.81711
826.446, 0.815492
824.176, 0.8139
821.918, 0.812292
819.672, 0.810628
817.439, 0.808868
815.217, 0.806976
813.008, 0.804924
810.811, 0.802693
808.625, 0.800276
806.452, 0.797678
804.29, 0.794913
802.139, 0.792009
800, 0.789
797.872, 0.785928
795.756, 0.782835
793.651, 0.779764
791.557, 0.776754
789.474, 0.773835
787.402, 0.771029
785.34, 0.768344
783.29, 0.765776
781.25, 0.763306
779.221, 0.760905
777.202, 0.758531
775.194, 0.756133
773.196, 0.753658
771.208, 0.751049
769.231, 0.748254
767.263, 0.745226
765.306, 0.74193
763.359, 0.738344
761.421, 0.734459
759.494, 0.730286
757.576, 0.725852
755.668, 0.721198
753.769, 0.71638
751.88, 0.711467
750, 0.70653
748.13, 0.701648
746.269, 0.696896
744.417, 0.692342
742.574, 0.688047
740.741, 0.684056
738.916, 0.680396
737.101, 0.677078
735.294, 0.674094
733.496, 0.671414
731.707, 0.668994
729.927, 0.666772
728.155, 0.664676
726.392, 0.662625
724.638, 0.660534
722.892, 0.658321
721.154, 0.655904
719.424, 0.653215
717.703, 0.650194
715.99, 0.646797
714.286, 0.642996
712.589, 0.63878
710.9, 0.634153
709.22, 0.629136
707.547, 0.623762
705.882, 0.618075
704.225, 0.612126
702.576, 0.605969
700.935, 0.599663
699.301, 0.593258
697.674, 0.586806
696.056, 0.580345
694.444, 0.573909
692.841, 0.567518
691.244, 0.561184
689.655, 0.554907
688.073, 0.54868
686.499, 0.542487
684.932, 0.536306
683.371, 0.530112
681.818, 0.523878
680.272, 0.517579
678.733, 0.511191
677.201, 0.504693
675.676, 0.498071
674.157, 0.491315
672.646, 0.484422
671.141, 0.477394
669.643, 0.470239
668.151, 0.462967
666.667, 0.455593
665.188, 0.448132
663.717, 0.440603
662.252, 0.433019
660.793, 0.425394
659.341, 0.417741
657.895, 0.410066
656.455, 0.402374
655.022, 0.394668
653.595, 0.386944
652.174, 0.379199
650.759, 0.371428
649.351, 0.363622
647.948, 0.355777
646.552, 0.347886
645.161, 0.339944
643.777, 0.331949
642.398, 0.323902
641.026, 0.315806
639.659, 0.307665
638.298, 0.299487
636.943, 0.291283
635.593, 0.283064
634.249, 0.274842
632.911, 0.266629
631.579, 0.258439
630.252, 0.250283
628.931, 0.242171
627.615, 0.234114
626.305, 0.226117
625, 0.218188
623.701, 0.210332
622.407, 0.202552
621.118, 0.19485
619.835, 0.18723
618.557, 0.179695
617.284, 0.172246
616.016, 0.16489
614.754, 0.15763
613.497, 0.150472
612.245, 0.143425
610.998, 0.136497
609.756, 0.129699
608.519, 0.12304
607.287, 0.116532
606.061, 0.110187
604.839, 0.104015
603.622, 0.0980278
602.41, 0.0922349
601.202, 0.0866455
600, 0.0812675
598.802, 0.0761078
597.61, 0.0711721
596.421, 0.0664652
595.238, 0.0619908
594.059, 0.0577523
592.885, 0.0537525
591.716, 0.0499942
590.551, 0.04648
589.391, 0.0432127
588.235, 0.0401955
587.084, 0.0374319
585.938, 0.0349254
584.795, 0.03268
583.658, 0.0306995
582.524, 0.0289877
581.395, 0.0275481
580.271, 0.0263833
579.151, 0.0254957
578.035, 0.0248863
